time,v(c1_1)
0,0
1e-7,0
1.17827e-7,0
1.53481e-7,0
2.2479e-7,0
3.67407e-7,0
6.52641e-7,0
0.00000122311,0
0,0
0.00000464592,0
0,0.00001
0.00001833716,0.00003
0.00002833716,0.00006
0.00003833716,0.00011
0.00004833716,0.00018
0.00005833716,0.00026
0.00006833716,0.00036
0.00007833716,0.00048
0.00008833716,0.0006
0.00009833716,0.00075
0.00010833716,0.00091
0.00011833716,0.00108
0.00012833716,0.00127
0.00013833716,0.00147
0.00014833716,0.00169
0.00015833716,0.00192
0.00016833716,0.00216
0.00017833716,0.00242
0.00018833716,0.0027
0.00019833716,0.00299
0.00020833716,0.00329
0.00021833716,0.00361
0.00022833716,0.00394
0.00023833716,0.00429
0.00024833716,0.00465
0.00025833716,0.00502
0.00026833716,0.00541
0.00027833716,0.00581
0.00028833716,0.00622
0.00029833716,0.00665
0.00030833716,0.00709
0.00031833716,0.00755
0.00032833716,0.00801
0.00033833716,0.0085
0.00034833716,0.00899
0.00035833716,0.0095
0.00036833716,0.01002
0.00037833716,0.01055
0.00038833716,0.0111
0.00039833716,0.01166
0.00040833716,0.01223
0.00041833716,0.01282
0.00042833716,0.01341
0.00043833716,0.01402
0.00044833716,0.01465
0.00045833716,0.01528
0.00046833716,0.01593
0.00047833716,0.01659
0.00048833716,0.01726
0.00049833716,0.01794
0.00050833716,0.01864
0.00051833716,0.01935
0.00052833716,0.02007
0.00053833716,0.0208
0.00054833716,0.02154
0.00055833716,0.0223
0.00056833716,0.02306
0.00057833716,0.02384
0.00058833716,0.02463
0.00059833716,0.02543
0.00060833716,0.02625
0.00061833716,0.02707
0.00062833716,0.02791
0.00063833716,0.02875
0.00064833716,0.02961
0.00065833716,0.03048
0.00066833716,0.03136
0.00067833716,0.03225
0.00068833716,0.03315
0.00069833716,0.03406
0.00070833716,0.03499
0.00071833716,0.03592
0.00072833716,0.03687
0.00073833716,0.03782
0.00074833716,0.03879
0.00075833716,0.03976
0.00076833716,0.04075
0.00077833716,0.04174
0.00078833716,0.04275
0.00079833716,0.04377
0.00080833716,0.0448
0.00081833716,0.04583
0.00082833716,0.04688
0.00083833716,0.04794
0.00084833716,0.049
0.00085833716,0.05008
0.00086833716,0.05117
0.00087833716,0.05226
0.00088833716,0.05337
0.00089833716,0.05448
0.00090833716,0.05561
0.00091833716,0.05674
0.00092833716,0.05789
0.00093833716,0.05904
0.00094833716,0.0602
0.00095833716,0.06137
0.00096833716,0.06255
0.00097833716,0.06374
0.00098833716,0.06494
0.00099833716,0.06615
0.00100833716,0.06736
0.00101833716,0.06859
0.00102833716,0.06982
0.00103833716,0.07107
0.00104833716,0.07232
0.00105833716,0.07358
0.00106833716,0.07485
0.00107833716,0.07612
0.00108833716,0.07741
0.00109833716,0.0787
0.00110833716,0.08
0.00111833716,0.08131
0.00112833716,0.08263
0.00113833716,0.08396
0.00114833716,0.08529
0.00115833716,0.08663
0.00116833716,0.08799
